id,title,author,dynasty,genre,poem_type,content,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,meter_category
5b9a1813367d5c0f40d22bdc,归雁,杜甫,唐代,诗,杂言,"东来万里客，乱定几年归？
肠断江城雁，高高向北飞！","['东来万里客乱定几年归', '肠断江城雁高高向北飞']","[10, 10]","10,10",2,20,False,
5b9a1af1367d5c0f40d23f23,九月二日登高,王鏊,明代,诗,杂言,"重阳未到便登高，万里天风触锦袍。山色湖光兼雨暝，诗怀酒思入秋豪。

丹砂漫贮千年药，白雪先尝九月糕。北雁联翩音信杳，怀人无语首频搔。

","['重阳未到便登高万里天风触锦袍山色湖光兼雨暝诗怀酒思入秋豪', '丹砂漫贮千年药白雪先尝九月糕北雁联翩音信杳怀人无语首频搔']","[28, 28]","28,28",2,56,False,
5b9a1893367d5c0f40d22f35,舟中和子翼雪茶,林光,明代,诗,杂言,"玉碗閒挥拨玉尘，梅花烹就腊前春。龙团点化元无滓，沆瀣餐来更迫真。

铁鼎青烟回别鹤，瓦瓯元酒劝何人。云山傥入周南梦，更话云山未了湮。

","['玉碗閒挥拨玉尘梅花烹就腊前春龙团点化元无滓沆瀣餐来更迫真', '铁鼎青烟回别鹤瓦瓯元酒劝何人云山傥入周南梦更话云山未了湮']","[28, 28]","28,28",2,56,False,
5b9a1863367d5c0f40d22df6,减字木兰花·天涯旧恨,秦观,宋代,诗,杂言,"天涯旧恨，独自凄凉人不问。欲见回肠，断尽金炉小篆香。
黛蛾长敛，任是春风吹不展。困倚危楼，过尽飞鸿字字愁。","['天涯旧恨独自凄凉人不问欲见回肠断尽金炉小篆香', '黛蛾长敛任是春风吹不展困倚危楼过尽飞鸿字字愁']","[22, 22]","22,22",2,44,False,
5b9a1849367d5c0f40d22d43,明妃曲二首,王安石,宋代,诗,杂言,"明妃初出汉宫时，泪湿春风鬓脚垂。
低徊顾影无颜色，尚得君王不自持。
归来却怪丹青手，入眼平生几曾有；
意态由来画不成，当时枉杀毛延寿。
一去心知更不归，可怜着尽汉宫衣；
寄声欲问塞南事，只有年年鸿雁飞。
家人万里传消息，好在毡城莫相忆；
君不见咫尺长门闭阿娇，人生失意无南北。

明妃初嫁与胡儿，毡车百两皆胡姬。
含情欲语独无处，传与琵琶心自知。
黄金杆拨春风手，弹看飞鸿劝胡酒。
汉宫侍女暗垂泪，沙上行人却回首。
汉恩自浅胡恩深，人生乐在相知心。
可怜青冢已芜没，尚有哀弦留至今。

","['明妃初出汉宫时泪湿春风鬓脚垂', '低徊顾影无颜色尚得君王不自持', '归来却怪丹青手入眼平生几曾有', '意态由来画不成当时枉杀毛延寿', '一去心知更不归可怜着尽汉宫衣', '寄声欲问塞南事只有年年鸿雁飞', '家人万里传消息好在毡城莫相忆', '君不见咫尺长门闭阿娇人生失意无南北', '明妃初嫁与胡儿毡车百两皆胡姬', '含情欲语独无处传与琵琶心自知', '黄金杆拨春风手弹看飞鸿劝胡酒', '汉宫侍女暗垂泪沙上行人却回首', '汉恩自浅胡恩深人生乐在相知心', '可怜青冢已芜没尚有哀弦留至今']","[14, 14, 14, 14, 14, 14, 14, 17, 14, 14, 14, 14, 14, 14]","14,14,14,14,14,14,14,17,14,14,14,14,14,14",14,199,False,
5b9a1b18367d5c0f40d24026,木瓜铺短歌,陆游,宋代,诗,杂言,"鼓楼坡前木瓜铺，岁晚悲辛利州路。当车礧礧石如屋，百里夷途无十步。

溪桥缺断水齧沙，崖腹崩颓风拔树。虎狼妥尾择肉食，狐狸竖毛啼日莫。

冢丘短草声窸窣，往往精灵与人遇。我生胡为忽在此，正坐一饥忘百虑。

五更出门寒裂面，半夜燎衣泥满裤。妻孥八月离夔州，寄书未到今何处。

馀年有几百忧集，日夜朱颜不如故。即今台省盛诸贤，细思宁是儒冠误。

","['鼓楼坡前木瓜铺岁晚悲辛利州路当车礧礧石如屋百里夷途无十步', '溪桥缺断水齧沙崖腹崩颓风拔树虎狼妥尾择肉食狐狸竖毛啼日莫', '冢丘短草声窸窣往往精灵与人遇我生胡为忽在此正坐一饥忘百虑', '五更出门寒裂面半夜燎衣泥满裤妻孥八月离夔州寄书未到今何处', '馀年有几百忧集日夜朱颜不如故即今台省盛诸贤细思宁是儒冠误']","[28, 28, 28, 28, 28]","28,28,28,28,28",5,140,False,
5b9a1bdf367d5c0f40d24561,偈颂二十一首 其十三,释智愚,宋代,诗,杂言,"夫蛊者最灵通，不期而会，不约而同。拶著崖崩石裂，抛出金圈栗蓬。

惊倒露柱，嚇煞灯笼。不知何处毒种，元来门里有虫。

","['夫蛊者最灵通不期而会不约而同拶著崖崩石裂抛出金圈栗蓬', '惊倒露柱嚇煞灯笼不知何处毒种元来门里有虫']","[26, 20]","26,20",2,46,False,
5b9a1479367d5cab186687eb,山中问答 / 山中答俗人问,李白,唐代,诗,杂言,"问余何意栖碧山，笑而不答心自闲。
桃花流水窅然去，别有天地非人间。","['问余何意栖碧山笑而不答心自闲', '桃花流水窅然去别有天地非人间']","[14, 14]","14,14",2,28,False,
5b9a192a367d5c0f40d2332b,唐彦猷谈奉得达二帖赞,岳珂,宋代,诗,杂言,"公于国史，以好砚称。
石焉取斯，盖协其能。
遒媚之观，在此尺纸。
善工利器，予鉴如此。","['公于国史以好砚称', '石焉取斯盖协其能', '遒媚之观在此尺纸', '善工利器予鉴如此']","[8, 8, 8, 8]","8,8,8,8",4,32,False,
5b9a1b66367d5c0f40d24236,盂兰盆词十首 其三,郑用锡,清代,诗,杂言,"馁魂窣窣逐良辰，犹是烟蓑雨笠身。甘露可能沾白骨，火坑暂许咽青唇。

田园笋蕨谋孙子，邱陇牛羊属别人。寄语此间多菜色，饥驱难饱藿羹尘。

","['馁魂窣窣逐良辰犹是烟蓑雨笠身甘露可能沾白骨火坑暂许咽青唇', '田园笋蕨谋孙子邱陇牛羊属别人寄语此间多菜色饥驱难饱藿羹尘']","[28, 28]","28,28",2,56,False,
