author,paragraphs,title,id,dynasty,genre,tags,notes,rhythmic,prologue,content
黄庚,"自憐身是客，又送客登舟。
雖有重來約，難禁一別愁。
風烟迷柳驛，草樹暗春洲。
後夜懷人處，山空月滿樓。",送别胡汲古,1ea0dedc-c9f2-427d-bcab-9437e1c73866,宋代,诗,,,,,"自怜身是客,又送客登舟. 虽有重来约,难禁一别愁. 风烟迷柳驿,草树暗春洲. 后夜怀人处,山空月满楼."
陳著,"我生一斷梗，會見親舊疏。
新詩如春風，習習勤噓枯。
謝君和君詩，句甚形神癯。
一笑當會此，各道意所如。",次韵戴成叔 其一○,e210215d-01e2-4c18-8949-0c73cf2dedfb,宋代,诗,,,,,"我生一断梗,会见亲旧疏. 新诗如春风,习习勤嘘枯. 谢君和君诗,句甚形神癯. 一笑当会此,各道意所如."
釋德洪,"折脚鐺尋穩處安，對君此夕久盟寒。
狐裘不合須羊袖，藥簏何妨缺夜干。
秋壟此時驅健犢，道山何日跨歸鸞。
仙鑪只隔數邱耳，上水船方厄瀨湍。",器之示巽中见怀次韵,e3c49ec5-56fc-4522-8639-cbd92b82990d,宋代,诗,,,,,"折脚铛寻稳处安,对君此夕久盟寒. 狐裘不合须羊袖,药簏何妨缺夜干. 秋垄此时驱健犊,道山何日跨归鸾. 仙𬬻只隔数邱耳,上水船方厄濑湍."
王安石,"聞有名花即謾栽，慇懃準擬故人來。
故人歲歲相逢晚，知復同看幾度開。",耿天骘许浪山千叶梅见寄,e57d3757-cca3-4e6e-acbb-56825c418187,宋代,诗,,,,,"闻有名花即谩栽,慇懃准拟故人来. 故人岁岁相逢晚,知复同看几度开."
朱翌,"結芻續體祭中丞，鬼質何爲苦見嗔。
千五百年如烈日，二十四州惟一人。
朝衣視坎趨前死，羽服行山即此身。
頼有區區張孝舉，直言驚倒漢廷臣。",颜鲁公画像,f5f42bb9-225a-40c1-a16d-c6c5007c58d8,宋代,诗,,,,,"结刍续体祭中丞,鬼质何为苦见嗔. 千五百年如烈日,二十四州惟一人. 朝衣视坎趋前死,羽服行山即此身. 頼有区区张孝举,直言惊倒汉廷臣."
李復,"坐憶金臺別，于今十四年。
新恩乘五馬，北首渡三川。
縣急均鹺戶，邊停助餉錢。
晉民衣食薄，移柱聽調絃。",答分守魏大夫,d59da380-2e41-4d51-a713-cadb73673641,宋代,诗,,,,,"坐忆金台别,于今十四年. 新恩乘五马,北首渡三川. 县急均鹾户,边停助饷钱. 晋民衣食薄,移柱听调弦."
錢勰,"東方千騎擁朱輪，衣錦歸逢故國春。
莫向西湖戀風月，鴒原知有望歸人。",走笔代书寄岊仲七弟,f70fa72a-1955-4bc4-8819-2c9df8e8a89e,宋代,诗,['西湖'],,,,"东方千骑拥朱轮,衣锦归逢故国春. 莫向西湖恋风月,鸰原知有望归人."
章謙亨,"梅在西湖上，精神別一般。
喜供詩客賞，怕與俗人看。
映水林文瘦，依山范叔寒。
生平逢此友，更覺酒腸寬。",西湖观梅三首 其一,98ae5ba7-b106-46ce-873e-91a55af05fce,宋代,诗,['西湖'],,,,"梅在西湖上,精神别一般. 喜供诗客赏,怕与俗人看. 映水林文瘦,依山范叔寒. 生平逢此友,更觉酒肠宽."
劉敞,"楚澤茫茫白芷生，春風紅樹語流鶯。
高樓不見千巖路，落日空含萬里情。",忆和,9c232277-24c3-4290-b892-062490405a28,宋代,诗,,,,,"楚泽茫茫白芷生,春风红树语流莺. 高楼不见千岩路,落日空含万里情."
周密,"秦邸獄成杯酒裏，烏臺禍起一詩間。
《癸辛雜識》續集卷上ff。",句 其一,0cae2b20-33cd-4cb1-8f57-303d82a18294,宋代,诗,,,,,"秦邸狱成杯酒里,乌台祸起一诗间. <癸辛杂识>续集卷上ff."
