id,author,title,dynasty,genre,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,regular_meter,poem_type
,无名氏,十二时・忆少年,宋代,词,炎图景|运正延鸿|文思|坐深宫|慈宁大养乐|事时奏宸聪|皇龄永恩|霈下遍寰中|君王乘彩服|嫔御上瑶钟|年年诞节就盈|吉月交庆流虹|欢洽|意方浓|不觉仙游渺|邈但号泣苍穹|追慕|念音容|诗书慈俭|配古追踪|躬行四德谁|知继二南风|移盼俄空宝|鉴脂泽尘封|清都远帝|乡遥杳难通|想云还|上瀛蓬|稽山何在当年|禹宅万古葱葱|最难堪潮|头定海波融,"3,4,2,3,5,5,4,5,5,5,6,6,2,3,5,6,2,3,4,4,5,5,5,5,4,5,3,3,6,6,4,5","3,4,2,3,5,5,4,5,5,5,6,6,2,3,5,6,2,3,4,4,5,5,5,5,4,5,3,3,6,6,4,5",32,138,False,,词
,无名氏,导引,宋代,词,返虞长乐|犹是忆宾天|何事|驾仙|箫笳仪卫辞宫|阙移仗入云烟|于皇清|庙敞华筵|昭穆|谨承先|千秋长奉烝尝|孝永享中兴年,"4,5,2,2,6,6,3,4,2,3,6,6","4,5,2,2,6,6,3,4,2,3,6,6",12,49,False,,词
,无名氏,导引,宋代,词,鼎湖龙远|九祭毕嘉觞|遥望|白云乡|箫笳凄咽离天|阙千仗俨成行|圣神昭|穆盛重光|宝室|万年藏|皇心追慕思无|极孝飨奉烝尝,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,凤箫声断|缥缈溯丹邱|犹是|忆河洲|荧煌宝册来天|上何处访仙游|葱葱郁|郁瑞光浮|嘉酌|侑芳羞|雕舆绣幰归新|庙百世与千秋,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,中兴复古|孝治日昭鸿|原庙|饰瑰宫|金壁千门磻万|磶楹桷竟穹崇|亭童芝|盖拥旌龙|列圣|俨相从|共锡神孙千万|寿龟鼎亘衡嵩,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,坤仪厚载|遗德满寰中|归御|广寒宫|玉容如在飚舆|远长乐起悲风|霓旌绛|节下层空|云阙|晓瞳昽|真游千载安原|庙圣孝与天通,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,深仁厚德|流泽自无穷|仙驭|倏宾空|衣冠未返苍梧|远遥望鼎湖龙|人间仿|佛认天容|缥缈|五云中|帝城犹有遗民|在垂泪向西风,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,金殿晚|愁结坤宁|天下母|忽仙升|云山浩浩归何处|但闻空际彩鸾声|紫箫断后无踪|迹烟霭霭夜澄澄|晓梦|到瑶城|当时花|木正冥冥,"3,4,3,3,7,7,6,7,2,3,3,4","3,4,3,3,7,7,6,7,2,3,3,4",12,52,False,,词
,无名氏,六州,宋代,词,娟娟月初|未缺忽沈西|桂枝残寒兔下|惟见露脚斜飞|六宫歌|笑奉瑶墀|一朝寂|寞掩袆衣|夜星不|动玉鸾嘶|沈沈何处|愁雾锁金扉|群仙瞻道范|肃驾到蓬池|紫清逸辔|飞电奔驰|又|谁知|一世|柔仪|椒涂玉|钮金螭|赞圣主膺天命|功勤曾佐雍熙|瑶天隔|玉闼低迷|五云高|绛府参差|往事如|今好寻思|留得香笺|镂管写新诗|但看芳猷|美宝册传徽|隆名万|古昭垂,"4,5,6,6,3,4,3,4,3,4,4,5,5,5,4,4,1,2,2,2,3,3,6,6,3,4,3,4,3,4,4,5,4,5,3,3","4,5,6,6,3,4,3,4,3,4,4,5,5,5,4,4,1,2,2,2,3,3,6,6,3,4,3,4,3,4,4,5,4,5,3,3",36,139,False,,词
,无名氏,十二时・忆少年,宋代,词,皇家景|运合无疆|天子|坐明堂|丰年多黍四|方争报时康|酒常清花|易好寿君王|天宫见玉女|大笑亿千场|不知何事椒涂|暗淡瑶殿凄凉|宝镜|玉台光|可奈画眉人|去脂泽散馀芳|极目|望潇湘|波遥草远|只见残阳|南山古阜松|柏茂蔚苍苍|杳霭|宫商|风过金|殿琳琅|道歌繁严|鼓近惨悲伤|水凝愁山攒|恨烟淡云黄|神山何在蟠桃|已远弱水何长|最难堪回|翟雉返鸾凰|向芙蓉别|殿谩焚香,"3,4,2,3,5,5,4,5,5,5,6,6,2,3,5,6,2,3,4,4,5,5,2,2,3,3,4,5,5,5,6,6,4,5,4,4","3,4,2,3,5,5,4,5,5,5,6,6,2,3,5,6,2,3,4,4,5,5,2,2,3,3,4,5,5,5,6,6,4,5,4,4",36,150,False,,词
,无名氏,导引,宋代,词,紫鸾飞去玉殿锁|坤宁珠箔俨银屏|仙家不似人|间世无处觅云|金铺肃肃湛严|扃天册下彤庭|嘉觞好在新宫|荐万世妥神灵,"7,7,5,6,6,6,6,6","7,7,5,6,6,6,6,6",8,49,False,,词
,无名氏,导引,宋代,词,秋月冷|秋鹤无声|清禁晓|动皇情|玉笙忽断今何在|不知谁报玉楼成|七星授辔骖鸾|种人不见恨难平|何以|返霓旌|一天风|露苦凄清,"3,4,3,3,7,7,6,7,2,3,3,4","3,4,3,3,7,7,6,7,2,3,3,4",12,52,False,,词
,无名氏,导引,宋代,词,皇家多庆|亲寿与天长|德业|播辉光|焜煌宝册来清|禁玉篆映金相|庭闱尊|奉会明昌|佳气|溢康庄|洪禧申辑名增|衍亿载颂无疆,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,上皇天大|华旦焕尧文|鸿福|浩无垠|羽龙俄驾灵輴|去空锁鼎湖云|稽山翠|拥浙江|归旆|卷缤纷|仙游指日严升|祔万载颂高勋,"4,5,2,3,6,6,3,3,2,3,6,6","4,5,2,3,6,6,3,3,2,3,6,6",12,49,False,,词
,无名氏,导引,宋代,词,虞觞奉主|仙驭返皇宫|礼典|极钦崇|云旗前导开清|庙龙管咽薰风|巍巍尧|父告神功|追慕|孝诚通|千秋万岁中兴|统宗祀与天同,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,中兴揖逊|功德仰兼隆|仁泽|被华戎|鼎湖俄痛遗弓|堕日日想威容|柔仪懿|范与尧同|飚驭|俨相从|灵宫真馆偕来|燕垂裕永无穷,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,皇家盛事|三殿庆重重|圣主|极推崇|瑶编宝列相辉|映归美意何穷|钧韶九|奏度春风|彩仗|焕仪容|欢声和气弥寰|宇皇寿与天同,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,重亲万寿|八帙衍新元|礼典|备文孙|温温和气迎长|日宝册焕瑶琨|徽音显|号自尧门|德行|已该存|更期昌算齐箕|翼愈久愈崇尊,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,笳鼓发|云惨寒空|丹旐去|卷悲风|忧勤六载亲几务|有巍巍圣德仁功|褰裳尊|处大安宫|荆鼎就|遽遗弓|仙游攀不及臣|民号恸诉苍穹,"3,4,3,3,7,7,3,4,3,3,6,6","3,4,3,3,7,7,3,4,3,3,6,6",12,52,False,,词
,无名氏,导引,宋代,词,龟书畀姒|历数在皇躬|揖逊|仰高风|鼎湖龙去遗弓|堕冠剑锁深宫|涂山齐|德翊成功|仙魄|蚤宾空|珍台闲馆栖神|地献飨永无穷,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,导引,宋代,词,思齐文母|盛德比姜任|拥佑|极恩深|汤孙归美熙鸿|号镂玉更绳金|虞庭万|辟萃华簪|法仗|俨天临|展闱庆典年年|举千古播徽音,"4,5,2,3,6,6,3,4,2,3,6,6","4,5,2,3,6,6,3,4,2,3,6,6",12,50,False,,词
,无名氏,六州,宋代,词,皇抚极明|德贯乾坤|信星列卿云|烂辉亘紫微垣|思报贶明诏祠宫练时搜旷|典紫畤觚坛昭孝德亲御和銮|振鹭|玉珊珊|精纯谒款|膋萧爌炀|黄流湛澹|百末布生兰|扣天阍延飞驾|相彷佛降云端|神光集嘉响|应霭霭万衣冠|竣熙事|清晓轻寒|恣|荣观|华衣雾|縠般般|乾坤并|贶庆君欢|翘首|圣恩宽|遵皇极沛天泽灵|心怿龟鼎永尊安,"4,4,5,6,11,12,2,3,4,4,4,5,6,6,5,6,3,4,1,2,3,3,3,4,2,3,7,7","4,4,5,6,11,12,2,3,4,4,4,5,6,6,5,6,3,4,1,2,3,3,3,4,2,3,7,7",28,129,False,,词
,无名氏,十二时・忆少年,宋代,词,宵景霁|河汉清夷|旷典|讲明时|合祛升侑|孝德爰熙|陈裸閟宫澹觞|太室来奏天仪|驷|苍螭|玉辂|驭蕤绥|觚陆|展躬祠|长梢饰玉|翠羽秀金支|华始倡雅|韵出宫垂|神来下云车风|马缤暗蔼宴栖迟|毕觞流胙紫烟竣事|棠梨回谒宣室受蕃厘|盛德无心专|飨端为民祈|云恩有截|雨泽霈无涯|君王愉乐|和气溢瑶卮|寿|天齐|长拥|神基,"3,4,2,3,4,4,6,6,1,2,2,3,2,3,4,5,4,4,6,7,8,9,5,5,4,5,4,5,1,2,2,2","3,4,2,3,4,4,6,6,1,2,2,3,2,3,4,5,4,4,6,7,8,9,5,5,4,5,4,5,1,2,2,2",32,127,False,,词
,无名氏,奉礼歌,宋代,词,葭飞璇|龠孕初阳|云绝清|台荐景祥|风应律|日重光|岁功顺底|金穰寿而康|庭壶|乐无疆|皇展报新礼|乐觚陛咏宾乡|珠|幄黄|登瑞缫陈|俎豆澹嘉觞|衮衣辉焕|宝佩琳琅|奠|椒浆|庆阴阴神来|下凤翥龙骧|灵燕喜锡符仍|降嘏镛管琳琅|欢亮神之|出祓兰堂|辇路|天香|轻烟半|袭旗常|祉|滂洋|受厘宣室|返驭斋房|恩与|风翔|华封祝皇来有庆|八荒同寿宝历无疆,"3,4,3,4,3,3,4,5,2,3,5,6,1,2,4,5,4,4,1,2,5,5,6,6,4,4,2,2,3,3,1,2,4,4,2,2,7,8","3,4,3,4,3,3,4,5,2,3,5,6,1,2,4,5,4,4,1,2,5,5,6,6,4,4,2,2,3,3,1,2,4,4,2,2,7,8",38,138,False,,词
,无名氏,降仙台,宋代,词,星芒收采云容|放晓羲驭渐扬明|觚坛竣事斋|风袭衮衣轻|銮路|尘清|甘泉卤簿祲|威肃回轸旋衡|千官道|从粲簪缨|钧奏|间韶英|瞻龙闱|近凤城|都人云会芬|茀夹道欢迎|宸极|尊荣|卮玉|庆熙成|琼楼天|上起和声|布春泽|洪畅寰瀛|嵩呼万岁鳌|三抃颂升平,"6,7,5,5,2,2,5,6,3,4,2,3,3,3,5,5,2,2,2,3,3,4,3,4,5,5","6,7,5,5,2,2,5,6,3,4,2,3,3,3,5,5,2,2,2,3,3,4,3,4,5,5",26,99,False,,词
,无名氏,导引,宋代,词,霜月苦|宫鼓冬冬|霓旐启|鹤闱空|洞箫声断知何处|海山依约五云东|玉符龙节参神|閟昭圣眷惨天容|千古|恨无穷|遍山松|柏撼悲风,"3,4,3,3,7,7,6,7,2,3,3,4","3,4,3,3,7,7,6,7,2,3,3,4",12,52,False,,词
,无名氏,导引,宋代,词,三弄晓|云黯天低|攀六引|转悲凄|俭慈孝哲锺天性|深仁厚泽遍群黎|东西南|北傒商霓|功甫就|别宸闺|臣民千古恨几|时羽卫带潮归,"3,4,3,3,7,7,3,4,3,3,6,6","3,4,3,3,7,7,3,4,3,3,6,6",12,52,False,,词
,无名氏,六州,宋代,词,明天子昔|日丕纂鸿图|躬道德崇学问|稽古训访群儒|日亲广|厦论唐虞|讲求政|治想都俞|君臣一|德志交孚|外夷效顺|犹自选车徒|仁恩沾四国|固结满寰区|千年宗社|万岁规摹|重新天|命出干符|老癃策|杖相扶|愿观德|化遍方隅|幸无|死须臾|谓宜圣|寿等嵩呼|遽登|云舆|上|龙湖|宸居幽|寂紫云孤|宸章宝画|但与日星俱|龙帷凤|翣已载涂|忍听笳|鼓嗟呼,"4,5,6,6,3,4,3,4,3,4,4,5,5,5,4,4,3,4,3,3,3,4,2,3,3,4,2,2,1,2,3,4,4,5,3,4,3,3","4,5,6,6,3,4,3,4,3,4,4,5,5,5,4,4,3,4,3,3,3,4,2,3,3,4,2,2,1,2,3,4,4,5,3,4,3,3",38,137,False,,词
